django.utils.autoreload INFO 2022-10-10 11:55:44,438 autoreload 13280 14296 Watching for file changes with StatReloader
appointment.middlewares ERROR 2022-10-10 11:56:11,314 middlewares 13280 7244 after opening url
django.request WARNING 2022-10-10 11:56:11,322 log 13280 7244 Not Found: /
appointment.middlewares ERROR 2022-10-10 11:56:11,774 middlewares 13280 7244 after opening url
django.request WARNING 2022-10-10 11:56:11,774 log 13280 7244 Not Found: /favicon.ico
appointment.middlewares ERROR 2022-10-10 11:56:20,925 middlewares 13280 7244 after opening url
appointment.middlewares ERROR 2022-10-10 11:56:31,004 middlewares 13280 14204 after opening url
django.request WARNING 2022-10-10 11:56:31,004 log 13280 14204 Not Found: /index
appointment.middlewares ERROR 2022-10-10 11:56:33,270 middlewares 13280 14204 after opening url
appointment.middlewares ERROR 2022-10-10 12:25:00,583 middlewares 13280 3340 after opening url
appointment.middlewares ERROR 2022-10-10 12:25:02,268 middlewares 13280 3340 after opening url
appointment.middlewares ERROR 2022-10-10 12:25:14,722 middlewares 13280 3340 after opening url
appointment.middlewares ERROR 2022-10-10 12:25:14,831 middlewares 13280 3340 after opening url
appointment.middlewares ERROR 2022-10-10 12:25:41,028 middlewares 13280 3340 after opening url
appointment.middlewares ERROR 2022-10-10 12:25:42,563 middlewares 13280 3340 after opening url
PIL.Image DEBUG 2022-10-10 12:26:47,444 Image 13280 3340 Importing BlpImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,444 Image 13280 3340 Importing BmpImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,444 Image 13280 3340 Importing BufrStubImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,444 Image 13280 3340 Importing CurImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,444 Image 13280 3340 Importing DcxImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,449 Image 13280 3340 Importing DdsImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,449 Image 13280 3340 Importing EpsImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,493 Image 13280 3340 Importing FitsImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,497 Image 13280 3340 Importing FitsStubImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,497 Image 13280 3340 Importing FliImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,497 Image 13280 3340 Importing FpxImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,501 Image 13280 3340 Image: failed to import FpxImagePlugin: No module named 'olefile'
PIL.Image DEBUG 2022-10-10 12:26:47,501 Image 13280 3340 Importing FtexImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,505 Image 13280 3340 Importing GbrImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,505 Image 13280 3340 Importing GifImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,505 Image 13280 3340 Importing GribStubImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,505 Image 13280 3340 Importing Hdf5StubImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,509 Image 13280 3340 Importing IcnsImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,513 Image 13280 3340 Importing IcoImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,517 Image 13280 3340 Importing ImImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,517 Image 13280 3340 Importing ImtImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,521 Image 13280 3340 Importing IptcImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,521 Image 13280 3340 Importing JpegImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,521 Image 13280 3340 Importing Jpeg2KImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,521 Image 13280 3340 Importing McIdasImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,521 Image 13280 3340 Importing MicImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,525 Image 13280 3340 Image: failed to import MicImagePlugin: No module named 'olefile'
PIL.Image DEBUG 2022-10-10 12:26:47,525 Image 13280 3340 Importing MpegImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,525 Image 13280 3340 Importing MpoImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,529 Image 13280 3340 Importing MspImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,529 Image 13280 3340 Importing PalmImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,533 Image 13280 3340 Importing PcdImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,537 Image 13280 3340 Importing PcxImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,537 Image 13280 3340 Importing PdfImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,545 Image 13280 3340 Importing PixarImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,545 Image 13280 3340 Importing PngImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,545 Image 13280 3340 Importing PpmImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,545 Image 13280 3340 Importing PsdImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,549 Image 13280 3340 Importing SgiImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,549 Image 13280 3340 Importing SpiderImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,549 Image 13280 3340 Importing SunImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,549 Image 13280 3340 Importing TgaImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,553 Image 13280 3340 Importing TiffImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,553 Image 13280 3340 Importing WebPImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,557 Image 13280 3340 Importing WmfImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,557 Image 13280 3340 Importing XbmImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,561 Image 13280 3340 Importing XpmImagePlugin
PIL.Image DEBUG 2022-10-10 12:26:47,561 Image 13280 3340 Importing XVThumbImagePlugin
register.views.reg_view INFO 2022-10-10 12:26:47,798 reg_view 13280 3340 User Was Registered
